Chromosome	Start	Stop	Length	Strand	Gene Symbol	gene_id	gene_name	gene_type	havana_gene	hgnc_id	level	ont	A1	A2	A3	A5	HD4	H5	H6	A4	H1	H2
X	77504880	77786234	281354	-	ENSG00000085224.23	ENSG00000085224.23	ATRX	protein_coding	OTTHUMG00000022686.12	HGNC:886	2	---	716	1434	816.998	216	3602	3000.02	2506.99	157	1067	780.001
5	69350984	69370014	19030	-	ENSG00000085231.14	ENSG00000085231.14	AK6	protein_coding	OTTHUMG00000187252.3	HGNC:49151	2	---	6.99089	15.7977	34.5875	15	65.9622	69.1241	58.0738	15	11.5515	22.9173
9	134903232	134917913	14681	-	ENSG00000085265.12	ENSG00000085265.12	FCN1	protein_coding	OTTHUMG00000020895.2	HGNC:3623	2	---	14375	1513	10281	6859	7943	6468	6253	13812	3924	3035
3	169773396	169789717	16321	+	ENSG00000085274.16	ENSG00000085274.16	MYNN	protein_coding	OTTHUMG00000184027.1	HGNC:14955	2 | 3	---	222.047	267.012	367.576	157.232	469.13	578.195	678.651	119.615	255.406	285.145
3	169083499	169663776	580277	-	ENSG00000085276.19	ENSG00000085276.19	MECOM	protein_coding	OTTHUMG00000158596.9	HGNC:3498	1 | 2 | 3	---	0	2	2	0	3	1	2	2	4	0
5	78360611	78480740	120129	+	ENSG00000085365.18	ENSG00000085365.18	SCAMP1	protein_coding	OTTHUMG00000162479.7	HGNC:10563	1 | 2	---	171	350	282	74	740.001	552	707	43	376	247
6	105273218	105454063	180845	-	ENSG00000085377.15	ENSG00000085377.15	PREP	protein_coding	OTTHUMG00000015297.2	HGNC:9358	2	---	13	10	146	26	125	163	152	120	23	24
6	104728094	104859920	131826	-	ENSG00000085382.12	ENSG00000085382.12	HACE1	protein_coding	OTTHUMG00000015287.5	HGNC:21033	2	---	5	7	57	3	63	56	66	5	8	21
18	12947133	12987537	40404	+	ENSG00000085415.16	ENSG00000085415.16	SEH1L	protein_coding	OTTHUMG00000181909.3	HGNC:30379	2	---	10	10	37	22	52	58	53	49	5	15
1	108970214	109042114	71900	-	ENSG00000085433.17	ENSG00000085433.17	WDR47	protein_coding	OTTHUMG00000011734.4	HGNC:29141	1 | 2	---	220	317.999	396.999	118	648.999	587.999	672.997	107	239	260
2	223855716	223945358	89642	-	ENSG00000085449.15	ENSG00000085449.15	WDFY1	protein_coding	OTTHUMG00000153370.5	HGNC:20451	1 | 2	---	907.999	308.725	1293.15	160.709	2005.62	1979.11	1423.32	1114.61	914.238	795.846
1	111414319	111427736	13417	-	ENSG00000085465.13	ENSG00000085465.13	OVGP1	protein_coding	OTTHUMG00000011746.2	HGNC:8524	2	---	1	4	6	1	1	9	7	1	0	2
1	108134043	108200850	66807	-	ENSG00000085491.17	ENSG00000085491.17	SLC25A24	protein_coding	OTTHUMG00000011013.8	HGNC:20662	2	---	659.62	826.224	599.385	340.212	661.158	540.846	719.85	140	292.269	190.535
6	160991727	161117386	125659	+	ENSG00000085511.20	ENSG00000085511.20	MAP3K4	protein_coding	OTTHUMG00000015968.5	HGNC:6856	2	---	1	3	58	9	119	88.7663	84	35	31	27
7	100367530	100400097	32567	+	ENSG00000085514.16	ENSG00000085514.16	PILRA	protein_coding	OTTHUMG00000155248.7	HGNC:20396	2	---	3816.31	5136.04	11654.5	4462.36	12085.1	11688.6	9276.11	5647.5	5553.25	6060.13
1	159927039	159945614	18575	-	ENSG00000085552.18	ENSG00000085552.18	IGSF9	protein_coding	OTTHUMG00000022794.3	HGNC:18132	2	---	0	2	2	10	0	0	0	2	9	1
7	87503017	87713324	210307	-	ENSG00000085563.15	ENSG00000085563.15	ABCB1	protein_coding	OTTHUMG00000023393.27	HGNC:40	1 | 2 | 3	---	0	1	0	0	31	26	17	0	8	7
16	3129777	3142805	13028	+	ENSG00000085644.14	ENSG00000085644.14	ZNF213	protein_coding	OTTHUMG00000177519.2	HGNC:13005	1 | 2 | 3	---	249	376	604.999	173	791.001	810.999	814	136	343	371
7	134442356	134459285	16929	-	ENSG00000085662.14	ENSG00000085662.14	AKR1B1	protein_coding	OTTHUMG00000155322.6	HGNC:381	2	---	6	1	34	41	48	49	28	85	10	11
8	86514435	86561499	47064	+	ENSG00000085719.13	ENSG00000085719.13	CPNE3	protein_coding	OTTHUMG00000163725.7	HGNC:2316	2	---	895.996	1052.99	3026.99	751.001	2792.98	2182	2567.97	794.999	1113	1125.99
16	15060033	15094312	34279	-	ENSG00000085721.13	ENSG00000085721.13	RRN3	protein_coding	OTTHUMG00000129847.2	HGNC:30346	2	---	10.0438	11.271	77.8023	7.5507	167.874	207.953	209.037	41.274	37.0424	43.6507
11	70398404	70436585	38181	+	ENSG00000085733.16	ENSG00000085733.16	CTTN	protein_coding	OTTHUMG00000134307.4	HGNC:3338	1 | 2	---	16	5	47	17	32	30	29	9	16	6
11	76186325	76210737	24412	-	ENSG00000085741.14	ENSG00000085741.14	WNT11	protein_coding	OTTHUMG00000165264.4	HGNC:12776	2	---	0	0	3	3	10	6	4	3	1	3
2	55236595	55269348	32753	-	ENSG00000085760.15	ENSG00000085760.15	MTIF2	protein_coding	OTTHUMG00000129338.24	HGNC:7441	1 | 2 | 3	---	34	50	103	81	202	106	202	103	62	94
8	38225218	38275559	50341	+	ENSG00000085788.14	ENSG00000085788.14	DDHD2	protein_coding	OTTHUMG00000164095.7	HGNC:29106	1 | 2	---	3	4	64	4	121	113	112	14	10	16
1	51287258	51345117	57859	-	ENSG00000085831.16	ENSG00000085831.16	TTC39A	protein_coding	OTTHUMG00000008193.5	HGNC:18657	2	---	0	6	5	17	5	5	2	3	3	4
1	51354263	51519329	165066	-	ENSG00000085832.18	ENSG00000085832.18	EPS15	protein_coding	OTTHUMG00000008192.3	HGNC:3419	1 | 2	---	1173.01	1561	1682.01	1289.01	2625	2329	2605.01	635.997	1200.01	1024
1	52372829	52404424	31595	-	ENSG00000085840.13	ENSG00000085840.13	ORC1	protein_coding	OTTHUMG00000008104.5	HGNC:8487	2	---	1	4	77	12	12	18	24	7	0	10
4	139665768	139740746	74978	+	ENSG00000085871.9	ENSG00000085871.9	MGST2	protein_coding	OTTHUMG00000133382.5	HGNC:7063	2 | 3	---	48.1077	117.063	179.017	483.999	175.133	267.25	211.122	149	46.0571	132.04
19	16517894	16542438	24544	-	ENSG00000085872.15	ENSG00000085872.15	CHERP	protein_coding	OTTHUMG00000169304.3	HGNC:16930	1 | 2	---	377.323	559.826	1082.82	478	1402.65	1524.79	1683.41	477.529	578	564.5
2	233210051	233295675	85624	+	ENSG00000085978.22	ENSG00000085978.22	ATG16L1	protein_coding	OTTHUMG00000133619.7	HGNC:21498	2 | 3	---	170	246	441.999	223	465	579.998	608.001	133	217	247
2	233475526	233566783	91257	-	ENSG00000085982.16	ENSG00000085982.16	USP40	protein_coding	OTTHUMG00000153199.6	HGNC:20069	1 | 2	---	6	21	7	2	12	18	18	16	12	4
1	46188683	46220306	31623	-	ENSG00000085998.15	ENSG00000085998.15	POMGNT1	protein_coding	OTTHUMG00000007604.3	HGNC:19139	2	---	6	3	50	13	120	129	88	32	34	36
1	46246461	46278481	32020	+	ENSG00000085999.13	ENSG00000085999.13	RAD54L	protein_coding	OTTHUMG00000007772.10	HGNC:9826	1 | 2 | 3	---	0	0	10.9995	0	0	8.15933e-27	0	3	0	0
1	45786987	46036123	249136	+	ENSG00000086015.23	ENSG00000086015.23	MAST2	protein_coding	OTTHUMG00000008007.7	HGNC:19035	2	---	66	104	177	63	224	159	122	47	64	39
9	33025273	33039908	14635	+	ENSG00000086061.16	ENSG00000086061.16	DNAJA1	protein_coding	OTTHUMG00000019760.2	HGNC:5229	2	---	2426	1988	3964	3283.91	5780.99	6534.96	4692.99	4329.99	2720	2708
9	33104082	33167357	63275	-	ENSG00000086062.13	ENSG00000086062.13	B4GALT1	protein_coding	OTTHUMG00000019764.1	HGNC:924	2 | 3	---	3267.01	4786	7009.01	5833	7040.98	6723.01	6628.99	3305	2709	3400
9	33264879	33282071	17192	+	ENSG00000086065.14	ENSG00000086065.14	CHMP5	protein_coding	OTTHUMG00000019765.4	HGNC:26942	2 | 3	---	1597.77	1092.99	1893.98	1106	3318.71	2766.03	2109.87	1559.99	2124.94	1192
9	33290512	33371158	80646	+	ENSG00000086102.19	ENSG00000086102.19	NFX1	protein_coding	OTTHUMG00000019772.6	HGNC:7803	2	---	73	111	289	56	634.999	595	696.999	114	194	262
5	62347284	62403944	56660	-	ENSG00000086189.11	ENSG00000086189.11	DIMT1	protein_coding	OTTHUMG00000131223.5	HGNC:30217	2	---	15.0322	4.52159	61.4224	11.1076	52.2045	58.0706	53.4206	49.5024	10.9068	14.0011
5	62403972	62628583	224611	+	ENSG00000086200.17	ENSG00000086200.17	IPO11	protein_coding	OTTHUMG00000154400.5	HGNC:20628	1 | 2	---	419	419.425	95.7146	281.003	147.816	98.7478	140.22	152.004	99.7793	53.3341
7	6022247	6059176	36929	-	ENSG00000086232.13	ENSG00000086232.13	EIF2AK1	protein_coding	OTTHUMG00000090689.15	HGNC:24921	1 | 2	---	570.863	697.898	1775.7	803.352	1561.99	1542.06	1855.76	649.69	465.984	788.514
7	37848597	37900398	51801	+	ENSG00000086288.12	ENSG00000086288.12	NME8	protein_coding	OTTHUMG00000023716.6	HGNC:16473	2	---	67	144	92	269	96	115	207	75	55	51
7	37920640	37951937	31297	+	ENSG00000086289.13	ENSG00000086289.13	EPDR1	protein_coding	OTTHUMG00000102187.5	HGNC:17572	1 | 2	---	2	1	9	3	0	2	3.84937	1	1	4
7	26291862	26374384	82522	+	ENSG00000086300.17	ENSG00000086300.17	SNX10	protein_coding	OTTHUMG00000023650.5	HGNC:14974	2	---	5014.8	4701.83	5422.98	3205.04	8731.14	11073	9313.27	3053.9	5191.55	4579.74
10	13317428	13348299	30871	-	ENSG00000086475.15	ENSG00000086475.15	SEPHS1	protein_coding	OTTHUMG00000017696.4	HGNC:19685	2 | 3	---	14	8	140	29	109	84.9999	120	61	23	32
16	366969	371290	4321	-	ENSG00000086504.18	ENSG00000086504.18	MRPL28	protein_coding	OTTHUMG00000047994.9	HGNC:14484	2	---	805.106	356.168	1983.77	1288.64	935.268	850	917.253	920.425	399.251	555.146
19	40717112	40740861	23749	+	ENSG00000086544.4	ENSG00000086544.4	ITPKC	protein_coding	OTTHUMG00000182688.3	HGNC:14897	2	---	385	1428.01	435	1361.99	360	503.002	405	234	194	298
19	41750977	41772212	21235	+	ENSG00000086548.9	ENSG00000086548.9	CEACAM6	protein_coding	OTTHUMG00000151064.5	HGNC:1818	2	---	56	17	5081	40	29	19	36	580.553	4	26.0139
5	151504092	151591332	87240	-	ENSG00000086570.13	ENSG00000086570.13	FAT2	protein_coding	OTTHUMG00000130126.2	HGNC:3596	1 | 2	---	3	16	5.61992	1.04889	5	6.06327	5.0653	0	17	2
5	150690792	150701078	10286	-	ENSG00000086589.12	ENSG00000086589.12	RBM22	protein_coding	OTTHUMG00000163589.5	HGNC:25503	2	---	985	1529.01	2594	2276.96	3024.97	3088.03	3107.01	1512.98	1451	1434
12	123584533	123598583	14050	+	ENSG00000086598.11	ENSG00000086598.11	TMED2	protein_coding	OTTHUMG00000168694.4	HGNC:16996	2	---	1534.75	2305.06	4718.38	2177.97	3717.91	4606.44	4896.92	1590	1351.65	2284.72
1	236214681	236282020	67339	-	ENSG00000086619.15	ENSG00000086619.15	ERO1B	protein_coding	OTTHUMG00000039955.4	HGNC:14355	2	---	63	72	157	86	444.001	428	518	109	235	150
15	80059568	80138394	78826	+	ENSG00000086666.19	ENSG00000086666.19	ZFAND6	protein_coding	OTTHUMG00000144169.7	HGNC:30164	1 | 2 | 3	---	1135.95	1355	1919.99	870.924	2575.01	2822.02	3160.03	473.965	1226.99	1576.97
X	16786432	16844520	58088	+	ENSG00000086712.13	ENSG00000086712.13	TXLNG	protein_coding	OTTHUMG00000021196.2	HGNC:18578	2 | 3	---	21	29	67	11	271.001	226	200	34	48	68
X	18675909	18827922	152013	+	ENSG00000086717.19	ENSG00000086717.19	PPEF1	protein_coding	OTTHUMG00000021219.9	HGNC:9243	2	---	7	10	20	4	21	9	17	4	10	7
7	74199652	74229835	30183	+	ENSG00000086730.17	ENSG00000086730.17	LAT2	protein_coding	OTTHUMG00000130151.11	HGNC:12749	2	---	7049.12	4649.05	12284.3	9672.77	9943.41	11204.7	7254.22	5065.94	4844.03	6075.83
X	53532096	53686753	154657	-	ENSG00000086758.17	ENSG00000086758.17	HUWE1	protein_coding	OTTHUMG00000021617.10	HGNC:30892	2	---	276	897.002	740	364	2978	2280.02	1741.99	292	836.999	574
11	113733187	113773736	40549	-	ENSG00000086827.9	ENSG00000086827.9	ZW10	protein_coding	OTTHUMG00000168190.2	HGNC:13194	2	---	11	7	30	3	109	118	119	23	28	40
11	111782195	111871582	89387	-	ENSG00000086848.15	ENSG00000086848.15	ALG9	protein_coding	OTTHUMG00000166819.7	HGNC:15672	1 | 2	---	1	0	24.3606	5	40.0375	43.72	43.9907	49	5.66844	7.90814
4	8366282	8440724	74442	-	ENSG00000087008.16	ENSG00000087008.16	ACOX3	protein_coding	OTTHUMG00000090509.22	HGNC:121	2	---	30	25	75	29	102	73	80	29	21	44
11	95821766	95925316	103550	-	ENSG00000087053.20	ENSG00000087053.20	MTMR2	protein_coding	OTTHUMG00000153837.3	HGNC:7450	2	---	6.38301	9.79419	39.2568	8	72.946	75.5523	69.7723	16	14.9661	18.256
19	48872212	48876060	3848	+	ENSG00000087074.9	ENSG00000087074.9	PPP1R15A	protein_coding	OTTHUMG00000183330.3	HGNC:14375	2	---	6105.92	6139.82	12919.2	11600.7	12931	15947.5	12255.2	9723.79	6597.16	6616.19
7	100867387	100873455	6068	+	ENSG00000087077.14	ENSG00000087077.14	TRIP6	protein_coding	OTTHUMG00000157029.5	HGNC:12311	2 | 3	---	53	103	166	259	90	78	60	94	77	51
19	48965309	48966880	1571	+	ENSG00000087086.15	ENSG00000087086.15	FTL	protein_coding	OTTHUMG00000183332.2	HGNC:3999	2	---	65364.4	55327.9	205867	275124	136260	146963	131794	175996	63982	97977.1
7	100875103	100888665	13562	+	ENSG00000087087.20	ENSG00000087087.20	SRRT	protein_coding	OTTHUMG00000157031.7	HGNC:24101	1 | 2	---	427	433	1507	862	1401	1682	1572	676	651	539
19	48954815	48961799	6984	+	ENSG00000087088.21	ENSG00000087088.21	BAX	protein_coding	OTTHUMG00000160476.4	HGNC:959	2 | 3	---	561	387	1678	1131	1231	1060	1335	814	585	793
17	28041737	28196382	154645	+	ENSG00000087095.13	ENSG00000087095.13	NLK	protein_coding	OTTHUMG00000132451.9	HGNC:29858	2	---	139	105	272	109	252	266	246	68	105	102
17	28553383	28571795	18412	-	ENSG00000087111.22	ENSG00000087111.22	PIGS	protein_coding	OTTHUMG00000132604.7	HGNC:14937	2	---	341	289	1083	327	1670.01	1436	1550	373	551.999	816.999
5	179110853	179345462	234609	-	ENSG00000087116.17	ENSG00000087116.17	ADAMTS2	protein_coding	OTTHUMG00000130915.7	HGNC:218	2	---	39	8	206	200	0	0	0	275	0	0
17	44191805	44200114	8309	-	ENSG00000087152.16	ENSG00000087152.16	ATXN7L3	protein_coding	OTTHUMG00000181812.2	HGNC:25416	2	---	3115.06	1929.01	5091.53	3445.82	3668.99	3860.94	3695.06	1487.64	1843.95	1734.72
17	78378649	78425115	46466	+	ENSG00000087157.19	ENSG00000087157.19	PGS1	protein_coding	OTTHUMG00000177514.8	HGNC:30029	1 | 2	---	3643.01	5461.01	8469.06	8179.75	2926.99	4364.97	3046.98	4316.05	2623	1572
17	63827152	63832027	4875	+	ENSG00000087191.14	ENSG00000087191.14	PSMC5	protein_coding	OTTHUMG00000179013.4	HGNC:9552	2 | 3	---	225	176	668.999	324	565	638	669	478	199	283
5	176905005	177022634	117629	-	ENSG00000087206.17	ENSG00000087206.17	UIMC1	protein_coding	OTTHUMG00000130852.5	HGNC:30298	2 | 3	---	1562	1391	2316.01	1625.01	2534	3244.01	2801	1294	1455	1260
16	56961923	56983846	21923	+	ENSG00000087237.12	ENSG00000087237.12	CETP	protein_coding	OTTHUMG00000133279.4	HGNC:1869	1 | 2	---	5	2	12	9	7	8	7	0	7	4
16	55509072	55586667	77595	+	ENSG00000087253.13	ENSG00000087253.13	LPCAT2	protein_coding	OTTHUMG00000133238.4	HGNC:26032	2	---	5377.55	3639.99	5931.67	1829.91	15361	15928.2	8065.82	2251.74	6594.88	3314.76
16	56191390	56357445	166055	+	ENSG00000087258.16	ENSG00000087258.16	GNAO1	protein_coding	OTTHUMG00000133241.11	HGNC:4389	1 | 2	---	2	0	0	2	7	2	7	3	1	0
16	56451521	56479105	27584	+	ENSG00000087263.17	ENSG00000087263.17	OGFOD1	protein_coding	OTTHUMG00000133237.5	HGNC:25585	2	---	24	35	117.992	40	193.869	225.991	234.895	54	47	81
4	2793071	2841099	48028	+	ENSG00000087266.17	ENSG00000087266.17	SH3BP2	protein_coding	OTTHUMG00000160801.18	HGNC:10825	2	---	3982.02	6515.09	9188.14	6376.95	11639	13198.1	10498.8	4582.05	8286.2	3941.98
4	2937933	2963407	25474	-	ENSG00000087269.16	ENSG00000087269.16	NOP14	protein_coding	OTTHUMG00000159911.5	HGNC:16821	1 | 2	---	11	9	77.7253	33	86	129	61.8355	55.9909	13	19
4	2843844	2930077	86233	+	ENSG00000087274.19	ENSG00000087274.19	ADD1	protein_coding	OTTHUMG00000122080.23	HGNC:243	1 | 2 | 3	---	3950.01	4604.02	8107.01	4375.06	9416.83	8521.93	8584.96	2190.99	3487.03	3677.97
14	50237563	50312230	74667	-	ENSG00000087299.12	ENSG00000087299.12	L2HGDH	protein_coding	OTTHUMG00000140289.4	HGNC:20499	1 | 2	---	0	0	14	1	20	47	27	7	4	5
14	52430596	52552523	121927	-	ENSG00000087301.9	ENSG00000087301.9	TXNDC16	protein_coding	OTTHUMG00000171103.4	HGNC:19965	2	---	16	67	71	14	242	187	318	25	98	121
14	51989514	52010695	21181	+	ENSG00000087302.9	ENSG00000087302.9	RTRAF	protein_coding	OTTHUMG00000152332.4	HGNC:23169	2	---	212	147.758	652.999	547	359	357	362	789.877	116	146
14	52004809	52069060	64251	-	ENSG00000087303.19	ENSG00000087303.19	NID2	protein_coding	OTTHUMG00000140298.3	HGNC:13389	2	---	3	13.2421	3	0	2	7.69066e-39	4	3	5.26608e-34	4
2	69829660	69881385	51725	+	ENSG00000087338.5	ENSG00000087338.5	GMCL1	protein_coding	OTTHUMG00000129643.4	HGNC:23843	2	---	526.89	1050.96	1337	532	2452.85	2511.96	2933.99	202	854.938	1142.94
11	66050729	66069309	18580	+	ENSG00000087365.16	ENSG00000087365.16	SF3B2	protein_coding	OTTHUMG00000166751.5	HGNC:10769	1 | 2	---	2473.02	2223.01	5949.89	2414	6220.01	6384	6597.67	2379.98	2538.01	3059
12	27780048	27803041	22993	+	ENSG00000087448.11	ENSG00000087448.11	KLHL42	protein_coding	OTTHUMG00000169217.3	HGNC:29252	2	---	2	2	86	0	205	189	217	20	42.149	30
20	58839718	58911193	71475	+	ENSG00000087460.29	ENSG00000087460.29	GNAS	protein_coding	OTTHUMG00000033069.23	HGNC:4392	2	---	15910.9	7283	26624.6	17879.5	20551	19198.1	17578.7	13298.2	8938.05	7589.96
12	32679200	32745651	66451	+	ENSG00000087470.21	ENSG00000087470.21	DNM1L	protein_coding	OTTHUMG00000169451.3	HGNC:2973	2	---	28	20	205	38	234	245	196.039	126	49	45
20	59577509	59847712	270203	+	ENSG00000087495.17	ENSG00000087495.17	PHACTR3	protein_coding	OTTHUMG00000032869.6	HGNC:15833	2 | 3	---	1	5	13	0	1	0	0	3	0	1
12	29337352	29381190	43838	-	ENSG00000087502.19	ENSG00000087502.19	ERGIC2	protein_coding	OTTHUMG00000169322.3	HGNC:30208	2	---	346.701	399.15	528.598	494.938	1081.9	1100.1	1039.86	209.046	667.916	389.996
20	56369389	56392338	22949	-	ENSG00000087586.18	ENSG00000087586.18	AURKA	protein_coding	OTTHUMG00000032796.7	HGNC:11393	2 | 3	---	13	5	24	8	43	27	37	14	13	15
20	56412112	56460388	48276	+	ENSG00000087589.17	ENSG00000087589.17	CASS4	protein_coding	OTTHUMG00000032788.3	HGNC:15878	2	---	401	1393	1596	405.999	5834.94	5752.05	4669.08	214	2752.99	2596.98
11	77821109	77918433	97324	+	ENSG00000087884.16	ENSG00000087884.16	AAMDC	protein_coding	OTTHUMG00000166651.2	HGNC:30205	1 | 2	---	18	8	51	70	34	25.4739	37	52	9	18
19	5993164	6199573	206409	-	ENSG00000087903.13	ENSG00000087903.13	RFX2	protein_coding	OTTHUMG00000180711.5	HGNC:9983	1 | 2	---	1109	2320.01	1124	2494.99	2156.99	2308.02	2871.99	1207.01	1532	975.003
17	62423875	62453386	29511	+	ENSG00000087995.16	ENSG00000087995.16	METTL2A	protein_coding	OTTHUMG00000164527.3	HGNC:25755	2 | 3	---	4.32917e-23	2	15.7677	8.23518	41.9758	34.2568	33.1929	22	6.41261	10.2553
1	63367575	63438554	70979	+	ENSG00000088035.18	ENSG00000088035.18	ALG6	protein_coding	OTTHUMG00000009140.9	HGNC:23157	2	---	103	129	201	128	200	219	188	81	90	87
19	54137749	54155682	17933	+	ENSG00000088038.20	ENSG00000088038.20	CNOT3	protein_coding	OTTHUMG00000066468.15	HGNC:7879	1 | 2	---	688.075	1352.89	1495.52	1154.21	2386.61	2559.56	2298.61	719.48	957.763	893.386
19	55013705	55038265	24560	-	ENSG00000088053.11	ENSG00000088053.11	GP6	protein_coding	OTTHUMG00000159709.3	HGNC:14388	2	---	6	6	9	6	7	9	7	3	1	7
2	119759922	119984900	224978	+	ENSG00000088179.9	ENSG00000088179.9	PTPN4	protein_coding	OTTHUMG00000131436.9	HGNC:9656	1 | 2	---	16	59	37	47	308	311	291	24	56	59
2	117814691	117832378	17687	+	ENSG00000088205.13	ENSG00000088205.13	DDX18	protein_coding	OTTHUMG00000058521.10	HGNC:2741	2	---	41	52	237	56	530	621.999	598.001	133	104	243
19	6413102	6424812	11710	-	ENSG00000088247.19	ENSG00000088247.19	KHSRP	protein_coding	OTTHUMG00000180850.3	HGNC:6316	1 | 2	---	295	447	1081	347	1342	1553	1650.84	493.999	500.935	766.999
19	3094362	3124000	29638	+	ENSG00000088256.9	ENSG00000088256.9	GNA11	protein_coding	OTTHUMG00000180631.7	HGNC:4379	2	---	4	12	22	13	19	12	5	23	13	9
1	23428563	23484569	56006	-	ENSG00000088280.20	ENSG00000088280.20	ASAP3	protein_coding	OTTHUMG00000003234.8	HGNC:14987	1 | 2	---	0	1	2	0	0	2	4	6	2	1
20	35115364	35147337	31973	-	ENSG00000088298.13	ENSG00000088298.13	EDEM2	protein_coding	OTTHUMG00000032322.5	HGNC:15877	2	---	926.994	707.001	1808.98	1326	1386.99	1661	1226.99	1301	768.997	897.996
20	32762385	32809360	46975	+	ENSG00000088305.19	ENSG00000088305.19	DNMT3B	protein_coding	OTTHUMG00000032226.4	HGNC:2979	2	---	0	0	8	0	8	1	7	5	1	1
20	31739271	31801806	62535	+	ENSG00000088325.16	ENSG00000088325.16	TPX2	protein_coding	OTTHUMG00000032190.3	HGNC:1249	2	---	5	1	117	13	12	9	13	29	9	0
20	35558737	35607563	48826	-	ENSG00000088340.17	ENSG00000088340.17	FER1L4	transcribed_unitary_pseudogene	OTTHUMG00000032354.13	HGNC:15801	2	---	3	2	6	10	0	2	2	0	6	0
20	31944337	31952047	7710	-	ENSG00000088356.6	ENSG00000088356.6	PDRG1	protein_coding	OTTHUMG00000032196.4	HGNC:16119	2	---	51	48	92	69	96.9829	128	153	134	50.9809	93.9833
20	36091504	36232800	141296	+	ENSG00000088367.23	ENSG00000088367.23	EPB41L1	protein_coding	OTTHUMG00000032378.14	HGNC:3378	2 | 3	---	0	1	0	1	2	5	1	1	6	0
13	98793429	99086626	293197	-	ENSG00000088387.22	ENSG00000088387.22	DOCK9	protein_coding	OTTHUMG00000017260.8	HGNC:14132	2	---	29	115	52	55	84	129	73	6	30	35
13	110878540	110915070	36530	-	ENSG00000088448.14	ENSG00000088448.14	ANKRD10	protein_coding	OTTHUMG00000017349.6	HGNC:20265	1 | 2	---	435	506	828	660	795	965	760	605	430	334
13	94574054	94596243	22189	-	ENSG00000088451.11	ENSG00000088451.11	TGDS	protein_coding	OTTHUMG00000046308.4	HGNC:20324	2	---	17	16	39	32	62	88	93	20	18	21
3	50674927	51384199	709272	+	ENSG00000088538.13	ENSG00000088538.13	DOCK3	protein_coding	OTTHUMG00000156892.6	HGNC:2989	2	---	2	4	1	1.51387e-30	3	3.95163	5	0	5	2.63442
3	50558025	50571028	13003	-	ENSG00000088543.15	ENSG00000088543.15	C3orf18	protein_coding	OTTHUMG00000156854.7	HGNC:24837	1 | 2	---	0	4	15	13	16	16	17	2	3	5
16	57447425	57461271	13846	+	ENSG00000088682.14	ENSG00000088682.14	COQ9	protein_coding	OTTHUMG00000176582.5	HGNC:25302	1 | 2	---	94	65	208	86.9999	279	311	317	114	126	117
3	12733528	12769458	35930	-	ENSG00000088726.16	ENSG00000088726.16	TMEM40	protein_coding	OTTHUMG00000129801.4	HGNC:25620	2	---	9	0	8	18	11	23	10	13	6	10
3	47227998	47283452	55454	-	ENSG00000088727.14	ENSG00000088727.14	KIF9	protein_coding	OTTHUMG00000133512.4	HGNC:16666	1 | 2	---	7.06193	17.0106	31.0944	20.0628	31.1302	31.8101	36.0731	20.2596	14.1646	24.047
20	6006093	6040054	33961	+	ENSG00000088766.12	ENSG00000088766.12	CRLS1	protein_coding	OTTHUMG00000031823.5	HGNC:16148	2 | 3	---	23.9797	18.9986	121.776	140	37.3528	15.8701	37.6584	101	9.09891	15.4285
14	103733195	103847576	114381	-	ENSG00000088808.18	ENSG00000088808.18	PPP1R13B	protein_coding	OTTHUMG00000171647.5	HGNC:14950	1 | 2	---	12.5406	9.22211	34.9124	12.0026	82.0038	78.9375	73.9971	19.1207	11.1784	14.9781
20	3471018	3651119	180101	+	ENSG00000088812.18	ENSG00000088812.18	ATRN	protein_coding	OTTHUMG00000031746.3	HGNC:885	2	---	13	17	200	39	189	201	156	73	28	29
20	4120980	4187748	66768	+	ENSG00000088826.18	ENSG00000088826.18	SMOX	protein_coding	OTTHUMG00000031777.5	HGNC:15862	2 | 3	---	27	7	44	60	22	28	13	23	7	8
20	3686970	3712601	25631	-	ENSG00000088827.14	ENSG00000088827.14	SIGLEC1	protein_coding	OTTHUMG00000031757.2	HGNC:11127	2	---	13	0	6	6	86	33	1	463	204	2
20	1368977	1393165	24188	-	ENSG00000088832.18	ENSG00000088832.18	FKBP1A	protein_coding	OTTHUMG00000031666.4	HGNC:3711	2	---	5959.55	5372.36	11802.5	11527.5	13007.3	12709.9	8468.8	6983.85	5539.45	4557.97
20	1442162	1473843	31681	-	ENSG00000088833.18	ENSG00000088833.18	NSFL1C	protein_coding	OTTHUMG00000031665.7	HGNC:15912	2	---	1571.28	2430.27	3915.36	4252.51	4714.13	4194.55	5297.64	1345.01	2048.32	2881.13
20	3249306	3407670	158364	-	ENSG00000088854.13	ENSG00000088854.13	DNAAF9	protein_coding	OTTHUMG00000031742.2	HGNC:17721	2	---	158	50	242.875	102	153.213	160.953	105.191	110.226	54	44.7281
20	2481817	2524703	42886	-	ENSG00000088876.13	ENSG00000088876.13	ZNF343	protein_coding	OTTHUMG00000031701.6	HGNC:16017	2 | 3	---	1	10	30	5	45.4176	48	55.8564	11	7	12
20	3846799	3876124	29325	+	ENSG00000088888.18	ENSG00000088888.18	MAVS	protein_coding	OTTHUMG00000031765.5	HGNC:29233	2 | 3	---	275	857	757.997	434	2061.99	1931.01	1900.02	365	987.992	618.998
